date,ANO,"SPD, Trikolora, PRO a Svobodní","Silní lídři pro kraj (ODS, KDU-ČSL a VÝCHODOČEŠI)","Čtyřkoalice Starostové, TOP09, HDK, LES"
2024-09-06,1.5,20.0,2.3,7.0
2024-09-07,1.5,20.0,2.3,7.0
2024-09-08,1.5,20.0,2.3,7.0
2024-09-09,1.5,20.0,2.3,7.0
2024-09-10,1.5,20.0,2.3,7.0
2024-09-11,1.4333333333333333,18.666666666666668,2.433333333333333,7.666666666666667
2024-09-12,1.3999999999999997,18.0,2.5,8.0
2024-09-13,1.3999999999999997,18.0,2.5,8.0
2024-09-14,1.3999999999999997,18.0,2.5,8.0
2024-09-15,1.4,18.0,2.5,8.0
