date,ANO,Koalice 3PK,ODS a TOP09,STAN
2024-09-06,1.1,12.0,8.0,7.0
2024-09-07,1.1,12.0,8.0,7.0
2024-09-08,1.1,12.0,7.833333333333333,7.166666666666667
2024-09-09,1.1,12.0,7.5,7.5
2024-09-10,1.1,12.0,7.5,7.5
2024-09-11,1.1,12.0,7.5,7.5
2024-09-12,1.1,12.0,7.5,7.5
2024-09-13,1.1,12.0,7.5,7.5
2024-09-14,1.1,12.0,7.5,7.5
2024-09-15,1.1,12.0,7.5,7.5
2024-09-16,1.1,12.0,7.5,7.5
2024-09-17,1.0866666666666667,12.0,7.5,7.833333333333333
2024-09-18,1.0533333333333335,12.0,7.833333333333333,9.0
2024-09-19,1.02,12.0,8.0,10.0
