date,Demokraté,Nezávislí,Republikáni
2024-01-25,2.1,22.0,1.8
2024-01-26,2.1,22.0,1.8
2024-01-27,2.1,22.0,1.8
2024-01-28,2.1,22.0,1.8
2024-01-29,2.1,22.0,1.8
2024-01-30,2.1,22.0,1.8
2024-01-31,2.1,22.0,1.8
2024-02-01,2.1,22.0,1.8
2024-02-02,2.1,22.0,1.8
2024-02-03,2.1,22.0,1.8
2024-02-04,2.1,22.0,1.8
2024-02-05,2.1,22.0,1.8
2024-02-06,2.1,22.0,1.8
2024-02-07,2.1,22.0,1.8
2024-02-08,2.1,22.0,1.8
2024-02-09,2.1,22.0,1.8
2024-02-10,2.1,22.0,1.8
2024-02-11,2.1,22.0,1.8
2024-02-12,2.1,22.0,1.8
2024-02-13,2.1,22.0,1.8
2024-02-14,2.1,22.0,1.8
2024-02-15,2.1,22.0,1.8
2024-02-16,2.1,22.0,1.8
2024-02-17,2.1,22.0,1.8
2024-02-18,2.1,22.0,1.8
2024-02-19,2.1,22.0,1.8
2024-02-20,2.1,22.0,1.8
2024-02-21,2.1,22.0,1.8
2024-02-22,2.05,25.0,1.8
2024-02-23,2.05,25.0,1.8
2024-02-24,2.05,25.0,1.8
2024-02-25,2.05,25.0,1.8
2024-02-26,2.05,25.0,1.8
2024-02-27,2.05,25.0,1.8
2024-02-28,2.05,25.0,1.8
2024-02-29,2.05,25.0,1.8
2024-03-01,2.05,25.0,1.8
2024-03-02,2.05,25.0,1.8
2024-03-03,2.05,25.0,1.8
2024-03-04,2.05,25.0,1.8
2024-03-05,2.05,25.0,1.8
2024-03-06,2.05,25.0,1.8
2024-03-07,2.1166666666666667,25.666666666666668,1.7
2024-03-08,2.15,26.0,1.6499999999999997
2024-03-09,2.15,26.0,1.6499999999999997
2024-03-10,2.15,26.0,1.6499999999999997
2024-03-11,2.15,26.0,1.6499999999999997
2024-03-12,2.15,26.0,1.6499999999999997
2024-03-13,2.15,26.0,1.6499999999999997
2024-03-14,2.15,26.0,1.6499999999999997
2024-03-15,2.15,26.0,1.65
2024-03-16,2.15,26.0,1.65
2024-03-17,2.1499999999999995,26.0,1.6499999999999997
2024-03-18,2.1846153846153844,26.0,1.6846153846153842
2024-03-19,2.2,26.0,1.7
