date,Bude kandidovat v prezidentských volbách v roce 2028,V 1.funkčním období dostane Nobelovu cenu míru,V 1.funkčním období jmenuje ministrem školství ČR T.Okamuru,V 1.funkčním období jmenuje předsedou vlády ČR A.Babiše,V 1.funkčním období jmenuje předsedou vlády ČR T.Okamuru,V 1.funkčním období jmenuje velvyslancem v Japonsku T.Okamuru
2023-05-22,1.85,50.0,60.0,2.5,88.0,70.0
2023-05-23,1.85,50.0,60.0,2.5,88.0,70.0
2023-05-24,1.85,50.0,60.0,2.5,88.0,70.0
2023-05-25,1.85,50.0,60.0,2.5,88.0,70.0
2023-05-26,1.85,50.0,60.0,2.5,88.0,70.0
2023-05-27,1.85,50.0,60.0,2.5,88.0,70.0
2023-05-28,1.85,50.0,60.0,2.5,88.0,70.0
2023-05-29,1.85,50.0,60.0,2.5,88.0,70.0
2023-05-30,1.85,50.0,60.0,2.5,88.0,70.0
2023-05-31,1.85,50.0,60.0,2.5,88.0,70.0
2023-06-01,1.85,50.0,60.0,2.5,88.0,70.0
2023-06-02,1.85,50.0,60.0,2.5,88.0,70.0
2023-06-03,1.85,50.0,60.0,2.5,88.0,70.0
2023-06-04,1.85,50.0,60.0,2.2,88.0,70.0
2023-06-05,1.85,50.0,60.0,2.2,88.0,70.0
2023-06-06,1.85,50.0,60.0,2.2,88.0,70.0
2023-06-07,1.85,50.0,60.0,2.2,88.0,70.0
2023-06-08,1.85,50.0,60.0,2.2,88.0,70.0
2023-06-09,1.85,50.0,60.0,2.2,88.0,70.0
2023-06-10,1.85,50.0,60.0,2.2,88.0,70.0
2023-06-11,1.85,50.0,60.0,2.2,88.0,70.0
2023-06-12,1.85,50.0,60.0,2.2,88.0,70.0
2023-06-13,1.85,50.0,60.0,2.2,88.0,70.0
2023-06-14,1.85,50.0,60.0,2.2,88.0,70.0
2023-06-15,1.85,50.0,60.0,2.2,88.0,70.0
2023-06-16,1.85,50.0,60.0,2.2,88.0,70.0
2023-06-17,1.85,50.0,60.0,2.2,88.0,70.0
2023-06-18,1.85,50.0,60.0,2.2,88.0,70.0
2023-06-19,1.85,50.0,60.0,2.2,88.0,70.0
2023-06-20,1.85,50.0,60.0,2.2,88.0,70.0
2023-06-21,1.85,50.0,60.0,2.2,88.0,70.0
2023-06-22,1.85,50.0,60.0,2.2,88.0,70.0
2023-06-23,1.85,50.0,60.0,2.2,88.0,70.0
2023-06-24,1.85,50.0,60.0,2.2,88.0,70.0
2023-06-25,1.85,50.0,60.0,2.2,88.0,70.0
2023-06-26,1.85,50.0,60.0,2.2,88.0,70.0
2023-06-27,1.85,50.0,60.0,2.2,88.0,70.0
2023-06-28,1.85,50.0,60.0,2.2,88.0,70.0
2023-06-29,1.85,50.0,60.0,2.2,88.0,70.0
2023-06-30,1.85,50.0,60.0,2.2,88.0,70.0
2023-07-01,1.85,50.0,60.0,2.2,88.0,70.0
2023-07-02,1.85,50.0,60.0,2.2,88.0,70.0
2023-07-03,1.85,50.0,60.0,2.2,88.0,70.0
2023-07-04,1.85,50.0,60.0,2.2,88.0,70.0
2023-07-05,1.85,50.0,60.0,2.2,88.0,70.0
2023-07-06,1.85,50.0,60.0,2.2,88.0,70.0
2023-07-07,1.85,50.0,60.0,2.2,88.0,70.0
2023-07-08,1.85,50.0,60.0,2.2,88.0,70.0
