date,Adéla Šípová,Alena Schillerová,Andrej Babiš,Daniel Vávra,Danuše Nerudová,Dominik Hašek,Filip Grznár,Filip Turek,Ivan Bartoš,Jaromír Jágr,Jaroslav Bašta,Josef Středula,Karel Diviš,Karel Havlíček,Karel Janeček,Klára Laurenčíková,Lenka Bradáčová,Leoš Mareš,Marek Hilšer,Markéta Pekarová Adamová,Martin Stropnický,Miloš Vystrčil,Miloš Zeman,Miroslav Kalousek,Miroslava Němcová,Monika Babišová,Pavel Fischer,Pavel Novotný,Pavel Zítko,Petr Fiala,Petr Macinka,Petr Pavel,Tomio Okamura,Tomáš Sedláček,Vladimír Špidla,Václav Klaus st.,Vít Rakušan,Věra Jourová,Zdeněk Škromach,muž,žena
2023-05-22,,80.0,25.0,275.0,15.0,390.0,,300.0,40.0,68.0,350.0,65.0,200.0,85.0,212.1,,60.0,250.0,50.0,55.0,55.0,25.0,125.0,95.0,85.0,150.0,30.0,5000.0,1066.0,7.0,250.0,2.0,66.0,100.0,100.0,150.0,15.0,85.0,150.0,1.2,4.0
2023-05-23,,80.0,25.0,275.0,15.0,390.0,,300.0,40.0,68.0,350.0,65.0,200.0,85.0,212.1,,60.0,250.0,50.0,55.0,55.0,25.0,125.0,95.0,85.0,150.0,30.0,5000.0,1066.0,7.0,250.0,2.0,66.0,100.0,100.0,150.0,15.0,85.0,150.0,1.2,4.0
2023-05-24,,80.0,25.0,275.0,15.0,390.0,,300.0,40.0,68.0,350.0,65.0,200.0,85.0,212.1,,60.0,250.0,50.0,55.0,55.0,25.0,125.0,95.0,85.0,150.0,30.0,5000.0,1066.0,7.0,250.0,2.0,66.0,100.0,100.0,150.0,15.0,85.0,150.0,1.2,4.0
2023-05-25,,80.0,25.0,275.0,15.0,390.0,,300.0,40.0,68.0,350.0,65.0,200.0,85.0,212.1,,60.0,250.0,50.0,55.0,55.0,25.0,125.0,95.0,85.0,150.0,30.0,5000.0,1066.0,7.0,250.0,2.0,66.0,100.0,100.0,150.0,15.0,85.0,150.0,1.2,4.0
2023-05-26,,80.0,25.0,275.0,15.0,390.0,,300.0,40.0,68.0,350.0,65.0,200.0,85.0,212.1,,60.0,250.0,50.0,55.0,55.0,25.0,125.0,95.0,85.0,150.0,30.0,5000.0,1066.0,7.0,250.0,2.0,66.0,100.0,100.0,150.0,15.0,85.0,150.0,1.2,4.0
2023-05-27,,80.0,25.0,275.0,15.0,390.0,,300.0,40.0,68.0,350.0,65.0,200.0,85.0,212.1,,60.0,250.0,50.0,55.0,55.0,25.0,125.0,95.0,85.0,150.0,30.0,5000.0,1066.0,7.0,250.0,2.0,66.0,100.0,100.0,150.0,15.0,85.0,150.0,1.2,4.0
2023-05-28,,80.0,25.0,275.0,15.0,390.0,,300.0,40.0,68.0,350.0,65.0,200.0,85.0,212.1,,60.0,250.0,50.0,55.0,55.0,25.0,125.0,95.0,85.0,150.0,30.0,5000.0,1066.0,7.0,250.0,2.0,66.0,100.0,100.0,150.0,15.0,85.0,150.0,1.2,4.0
2023-05-29,,80.0,25.0,275.0,15.0,390.0,,300.0,40.0,68.0,350.0,65.0,200.0,85.0,212.1,,60.0,250.0,50.0,55.0,55.0,25.0,125.0,95.0,85.0,150.0,30.0,5000.0,1066.0,7.0,250.0,2.0,66.0,100.0,100.0,150.0,15.0,85.0,150.0,1.2,4.0
2023-05-30,,80.0,25.0,275.0,15.0,390.0,,300.0,40.0,68.0,350.0,65.0,200.0,85.0,212.1,,60.0,250.0,50.0,55.0,55.0,25.0,125.0,95.0,85.0,150.0,30.0,5000.0,1066.0,7.0,250.0,2.0,66.0,100.0,100.0,150.0,15.0,85.0,150.0,1.2,4.0
2023-05-31,,80.0,25.0,275.0,15.0,390.0,,300.0,40.0,68.0,350.0,65.0,200.0,85.0,212.1,,60.0,250.0,50.0,55.0,55.0,25.0,125.0,95.0,85.0,150.0,30.0,5000.0,1066.0,7.0,250.0,2.0,66.0,100.0,100.0,150.0,15.0,85.0,150.0,1.2,4.0
2023-06-01,,80.0,25.0,275.0,15.0,390.0,,300.0,40.0,68.0,350.0,65.0,200.0,85.0,212.1,,60.0,250.0,50.0,55.0,55.0,25.0,125.0,95.0,85.0,150.0,30.0,5000.0,1066.0,7.0,250.0,2.0,66.0,100.0,100.0,150.0,15.0,85.0,150.0,1.2,4.0
2023-06-02,,80.0,25.0,275.0,15.0,390.0,,300.0,40.0,68.0,350.0,65.0,200.0,85.0,212.1,,60.0,250.0,50.0,55.0,55.0,25.0,125.0,95.0,85.0,150.0,30.0,5000.0,1066.0,7.0,250.0,2.0,66.0,100.0,100.0,150.0,15.0,85.0,150.0,1.2,4.0
2023-06-03,,80.0,25.0,275.0,15.0,390.0,,300.0,40.0,68.0,350.0,65.0,200.0,85.0,212.1,,60.0,250.0,50.0,55.0,55.0,25.0,125.0,95.0,85.0,150.0,30.0,5000.0,1066.0,7.0,250.0,2.0,66.0,100.0,100.0,150.0,15.0,85.0,150.0,1.2,4.0
2023-06-04,,80.0,25.0,275.0,15.0,390.0,,300.0,40.0,68.0,350.0,65.0,200.0,85.0,212.1,,60.0,250.0,50.0,55.0,55.0,25.0,125.0,95.0,85.0,150.0,30.0,5000.0,1066.0,7.0,250.0,2.0,66.0,100.0,100.0,150.0,15.0,85.0,150.0,1.2,4.0
2023-06-05,,80.0,25.0,275.0,15.0,390.0,,300.0,40.0,68.0,350.0,65.0,200.0,85.0,212.1,,60.0,250.0,50.0,55.0,55.0,25.0,125.0,95.0,85.0,150.0,30.0,5000.0,1066.0,7.0,250.0,2.0,66.0,100.0,100.0,150.0,15.0,85.0,150.0,1.2,4.0
2023-06-06,,80.0,25.0,275.0,15.0,390.0,,300.0,40.0,68.0,350.0,65.0,200.0,85.0,212.1,,60.0,250.0,50.0,55.0,55.0,25.0,125.0,95.0,85.0,150.0,30.0,5000.0,1066.0,7.0,250.0,2.0,66.0,100.0,100.0,150.0,15.0,85.0,150.0,1.2,4.0
2023-06-07,,80.0,25.0,275.0,15.0,390.0,,300.0,40.0,68.0,350.0,65.0,200.0,85.0,212.1,,60.0,250.0,50.0,55.0,55.0,25.0,125.0,95.0,85.0,150.0,30.0,5000.0,1066.0,7.0,250.0,2.0,66.0,100.0,100.0,150.0,15.0,85.0,150.0,1.2,4.0
2023-06-08,,80.0,25.0,275.0,15.0,390.0,,300.0,40.0,68.0,350.0,65.0,200.0,85.0,212.1,,60.0,250.0,50.0,55.0,55.0,25.0,125.0,95.0,85.0,150.0,30.0,5000.0,1066.0,7.0,250.0,2.0,66.0,100.0,100.0,150.0,15.0,85.0,150.0,1.2,4.0
2023-06-09,,80.0,25.0,275.0,15.0,390.0,,300.0,40.0,68.0,350.0,65.0,200.0,85.0,212.1,,60.0,250.0,50.0,55.0,55.0,25.0,125.0,95.0,85.0,150.0,30.0,5000.0,1066.0,7.0,250.0,2.0,66.0,100.0,100.0,150.0,15.0,85.0,150.0,1.2,4.0
