date,Aliancia,Demokrati,Hlas,KDH,"Modrí, Most – Híd",OĽANO A PRIATELIA,Progresívne Slovensko,Republika,SNS,SaS,Sme rodina,Smer,ĽS Naše Slovensko
2023-07-26,1000.0,800.0,3.5,250.0,1500.0,20.0,1.22,12.0,300.0,130.0,140.0,1.08,1500.0
2023-07-27,1000.0,800.0,3.75,250.0,1500.0,20.0,1.21,12.0,300.0,130.0,140.0,1.06,1500.0
2023-07-28,1000.0,800.0,4.1,250.0,1500.0,20.0,1.2,12.0,300.0,130.0,140.0,1.04,1500.0
2023-07-29,1000.0,800.0,3.765,250.0,1500.0,20.0,1.225,12.0,300.0,130.0,140.0,1.05,1500.0
2023-07-30,1000.0,800.0,3.33,250.0,1500.0,20.0,1.25,12.0,300.0,130.0,140.0,1.06,1500.0
2023-07-31,1000.0,800.0,3.15,250.0,1500.0,22.0,1.33,12.0,300.0,130.0,140.0,1.06,1500.0
2023-08-01,1000.0,800.0,3.575,250.0,1500.0,18.5,1.29,13.5,300.0,130.0,140.0,1.0550000000000002,1500.0
2023-08-02,1000.0,800.0,4.0,250.0,1500.0,15.0,1.25,15.0,300.0,130.0,140.0,1.05,1500.0
2023-08-03,1000.0,900.0,4.0,250.0,1500.0,16.0,1.25,15.0,275.0,130.0,145.0,1.05,1500.0
2023-08-04,1000.0,1000.0,4.0,250.0,1500.0,16.0,1.2650000000000001,15.0,250.0,130.0,150.0,1.05,1500.0
2023-08-05,1000.0,1000.0,4.5,250.0,1500.0,15.0,1.24,15.0,250.0,130.0,150.0,1.05,1500.0
2023-08-06,1000.0,1000.0,5.0,250.0,1500.0,15.0,1.2,15.0,250.0,130.0,150.0,1.05,1500.0
2023-08-07,1000.0,1000.0,5.0,250.0,1500.0,15.0,1.2,15.0,250.0,130.0,150.0,1.045,1500.0
2023-08-08,1000.0,1000.0,6.0,250.0,1500.0,13.0,1.15,13.0,250.0,125.0,150.0,1.04,1500.0
2023-08-09,1000.0,1000.0,6.0,250.0,1500.0,12.5,1.15,14.5,250.0,118.0,150.0,1.05,1500.0
2023-08-10,1000.0,1000.0,6.0,250.0,1500.0,11.5,1.15,16.0,236.0,111.0,150.0,1.0550000000000002,1500.0
2023-08-11,1000.0,1000.0,6.0,250.0,1500.0,11.0,1.15,16.0,222.0,111.0,150.0,1.05,1500.0
2023-08-12,1000.0,1000.0,6.0,250.0,1500.0,11.0,1.16,16.0,222.0,111.0,150.0,1.05,1500.0
2023-08-13,1000.0,1000.0,6.0,250.0,1500.0,11.0,1.17,16.0,222.0,111.0,150.0,1.05,1500.0
2023-08-14,1200.0,1200.0,6.0,300.0,1500.0,11.0,1.17,16.0,222.0,150.0,200.0,1.05,1500.0
2023-08-15,1200.0,1200.0,6.0,300.0,1500.0,11.0,1.17,16.0,222.0,150.0,200.0,1.05,1500.0
2023-08-16,1200.0,1200.0,6.0,300.0,1500.0,11.0,1.17,16.0,222.0,150.0,200.0,1.05,1500.0
2023-08-17,1200.0,1200.0,6.0,300.0,1500.0,11.5,1.1749999999999998,17.0,222.0,150.0,200.0,1.0350000000000001,1500.0
2023-08-18,1200.0,1200.0,6.0,300.0,1500.0,12.0,1.18,22.0,230.0,150.0,200.0,1.04,1500.0
2023-08-19,1200.0,1200.0,6.0,300.0,1500.0,12.0,1.18,22.0,230.0,150.0,200.0,1.04,1500.0
2023-08-20,1200.0,1200.0,6.0,300.0,1500.0,12.0,1.18,22.0,230.0,150.0,200.0,1.04,1500.0
