date,Prvý premiér s vyslovenou dôverou NRSR - Danko Andrej,Prvý premiér s vyslovenou dôverou NRSR - Dzurinda Mikuláš,Prvý premiér s vyslovenou dôverou NRSR - Fico Róbert,Prvý premiér s vyslovenou dôverou NRSR - Forró Krisztián,Prvý premiér s vyslovenou dôverou NRSR - Heger Eduard,Prvý premiér s vyslovenou dôverou NRSR - Kollár Boris,Prvý premiér s vyslovenou dôverou NRSR - Kotleba Marian,Prvý premiér s vyslovenou dôverou NRSR - Majerský Milan,Prvý premiér s vyslovenou dôverou NRSR - Matovič Igor,Prvý premiér s vyslovenou dôverou NRSR - Pellegrini Peter,Prvý premiér s vyslovenou dôverou NRSR - Remišová Veronika,Prvý premiér s vyslovenou dôverou NRSR - Sulík Richard,Prvý premiér s vyslovenou dôverou NRSR - Uhrík Milan,Prvý premiér s vyslovenou dôverou NRSR - Šimečka Michal
2023-05-22,200.0,250.0,2.2,200.0,50.0,15.0,300.0,150.0,60.0,2.0,300.0,20.0,100.0,4.0
2023-05-23,200.0,250.0,2.25,200.0,50.0,15.0,300.0,150.0,60.0,2.0,300.0,20.0,100.0,3.85
2023-05-24,200.0,250.0,2.3,200.0,50.0,15.0,300.0,150.0,60.0,2.0,300.0,20.0,100.0,3.7
2023-05-25,200.0,250.0,2.3,200.0,60.0,15.0,300.0,150.0,60.0,2.2,300.0,30.0,100.0,3.4000000000000004
2023-05-26,200.0,250.0,2.3,200.0,70.0,15.0,300.0,150.0,60.0,2.4,300.0,30.0,100.0,3.1
2023-05-27,200.0,250.0,2.3,200.0,70.0,15.0,300.0,150.0,60.0,2.4,300.0,30.0,100.0,3.1
2023-05-28,200.0,250.0,2.3,200.0,70.0,15.0,300.0,150.0,60.0,2.4,300.0,30.0,100.0,3.1
2023-05-29,200.0,250.0,2.3,200.0,70.0,15.0,300.0,150.0,60.0,2.4,300.0,30.0,100.0,3.1
2023-05-30,200.0,250.0,2.3,200.0,70.0,15.0,300.0,150.0,60.0,2.4,300.0,30.0,100.0,3.1
2023-05-31,200.0,250.0,2.3,200.0,70.0,15.0,300.0,150.0,60.0,2.4,300.0,30.0,100.0,3.1
2023-06-01,200.0,250.0,2.3,200.0,70.0,15.0,300.0,150.0,60.0,2.4,300.0,30.0,100.0,3.1
2023-06-02,200.0,250.0,2.3,200.0,70.0,15.0,300.0,150.0,50.0,2.4,300.0,30.0,100.0,3.0250000000000004
2023-06-03,200.0,250.0,2.3499999999999996,200.0,70.0,15.0,300.0,150.0,45.0,2.575,300.0,30.0,100.0,2.7750000000000004
2023-06-04,200.0,250.0,2.4,200.0,70.0,15.0,300.0,150.0,50.0,2.75,300.0,30.0,100.0,2.6
