date,Donald Trump - Kamala Harris
2024-09-18,7.43
2024-09-19,7.43
2024-09-20,7.43
2024-09-21,7.43
2024-09-22,7.43
2024-09-23,7.43
2024-09-24,7.43
2024-09-25,7.43
2024-09-26,7.43
2024-09-27,7.43
2024-09-28,7.43
2024-09-29,7.43
2024-09-30,7.43
2024-10-01,7.43
2024-10-02,7.43
2024-10-03,7.43
2024-10-04,7.43
2024-10-05,7.43
2024-10-06,7.43
2024-10-07,7.43
2024-10-08,7.43
2024-10-09,7.43
2024-10-10,7.43
2024-10-11,7.43
2024-10-12,7.43
2024-10-13,7.43
2024-10-14,7.43
2024-10-15,7.43
2024-10-16,7.43
2024-10-17,7.43
2024-10-18,7.43
2024-10-19,7.43
2024-10-20,7.43
2024-10-21,7.43
2024-10-22,7.43
2024-10-23,7.43
2024-10-24,7.43
2024-10-25,7.43
2024-10-26,7.43
2024-10-27,7.43
2024-10-28,7.43
2024-10-29,7.43
