date,Demokrati (Kamala Harris) vyhrajú v New Yorku aspoň o 10 percentuálnych bodov,Demokrati (Kamala Harris) vyhrajú vo voľbách aj v ľudovom hlasovaní,Demokrati (Kamala Harris) vyhrajú vo vštkých 7 swing states,"Demokrati (Kamala Harris) získajú 41,99% hlasov alebo menej","Demokrati (Kamala Harris) získajú 42,00%-44,99% hlasov","Demokrati (Kamala Harris) získajú 45,00%-47,99% hlasov","Demokrati (Kamala Harris) získajú 48,00%-50,99% hlasov","Demokrati (Kamala Harris) získajú 51,00%-53,99% hlasov","Demokrati (Kamala Harris) získajú 54,00% hlasov alebo viac",Republikáni (Donald Trump) vyhrajú aspoň v 3 zo 7 swing states,Republikáni (Donald Trump) vyhrajú aspoň v 4 zo 7 swing states,Republikáni (Donald Trump) vyhrajú aspoň v 5 zo 7 swing states,Republikáni (Donald Trump) vyhrajú aspoň v 6 zo 7 swing states,Republikáni (Donald Trump) vyhrajú na Floride aspoň o 8 percentuálnych bodov,Republikáni (Donald Trump) vyhrajú v Texase aspoň o 10 percentuálnych bodov,Republikáni (Donald Trump) vyhrajú vo voľbách aj v ľudovom hlasovaní,Republikáni (Donald Trump) vyhrajú vo všetkých 7 swing states,"Republikáni (Donald Trump) získajú 41,99% hlasov alebo menej","Republikáni (Donald Trump) získajú 42,00%-44,99% hlasov","Republikáni (Donald Trump) získajú 45,00%-47,99% hlasov","Republikáni (Donald Trump) získajú 48,00%-50,99% hlasov","Republikáni (Donald Trump) získajú 51,00%-53,99% hlasov","Republikáni (Donald Trump) získajú 54,00% hlasov alebo viac",Štát s najmenším rozdielom percentuálnych bodov - Arizona,Štát s najmenším rozdielom percentuálnych bodov - Georgia,Štát s najmenším rozdielom percentuálnych bodov - Michigan,Štát s najmenším rozdielom percentuálnych bodov - Nevada,Štát s najmenším rozdielom percentuálnych bodov - Pensylvánia,Štát s najmenším rozdielom percentuálnych bodov - Severná Karolína,Štát s najmenším rozdielom percentuálnych bodov - Wisconsin,"Štát, v ktorom Demokrati vyhrajú s najväčším rozdielom percentuálnych bodov - Havaj","Štát, v ktorom Demokrati vyhrajú s najväčším rozdielom percentuálnych bodov - Maryland","Štát, v ktorom Demokrati vyhrajú s najväčším rozdielom percentuálnych bodov - Massachusetts","Štát, v ktorom Demokrati vyhrajú s najväčším rozdielom percentuálnych bodov - Vermont","Štát, v ktorom Republikáni vyhrajú s najväčším rozdielom percentuálnych bodov - Wyoming"
2024-10-22,1.15,2.5,10.0,25.0,10.0,6.0,1.9,2.75,10.0,1.2,1.4,1.7,2.25,1.8,3.15,3.15,3.25,20.0,10.0,2.5,2.0,4.5,10.0,18.0,10.0,6.0,5.0,5.0,12.0,6.0,6.0,9.0,7.5,1.4,1.27
2024-10-23,1.15,2.5,10.0,25.0,10.0,6.0,1.8999999999999997,2.75,10.0,1.2,1.3999999999999997,1.7,2.25,1.8,3.15,3.15,3.25,20.0,10.0,2.5,2.0,4.5,10.0,18.0,10.0,6.0,5.0,5.0,12.0,6.0,6.0,9.0,7.5,1.3999999999999997,1.27
2024-10-24,1.15,2.5,10.0,21.666666666666668,10.0,5.333333333333333,1.8999999999999997,2.75,10.0,1.2,1.3999999999999997,1.7,2.25,1.6000000000000003,3.0,3.1833333333333336,3.25,20.0,10.0,2.5,2.0,4.5,10.0,18.0,10.0,6.0,5.0,5.0,12.0,6.0,6.0,9.0,7.5,1.3999999999999997,1.27
2024-10-25,1.15,2.5,10.0,20.0,10.0,5.0,1.8999999999999997,2.75,10.0,1.2,1.3999999999999997,1.7,2.25,1.6000000000000003,3.0,3.2000000000000006,3.25,20.0,10.0,2.5,2.0,4.5,10.0,18.0,10.0,6.0,5.0,5.0,12.0,6.0,6.0,9.0,7.5,1.3999999999999997,1.27
2024-10-26,1.15,2.5,10.0,20.0,10.0,5.0,1.8999999999999997,2.75,10.0,1.2,1.3999999999999997,1.7,2.25,1.6000000000000003,3.0,3.2000000000000006,3.0,20.0,10.0,2.4333333333333336,2.0,4.5,10.0,18.0,10.0,6.0,5.0,5.0,12.0,6.0,6.0,9.0,7.5,1.3999999999999997,1.27
2024-10-27,1.15,2.5,10.0,20.0,10.0,5.0,1.8999999999999997,2.75,10.0,1.2,1.3999999999999997,1.7,2.25,1.6000000000000003,3.0,3.0666666666666664,3.0,20.0,10.0,2.4,2.0,4.5,10.0,18.0,10.0,6.0,5.0,5.0,12.0,6.0,6.0,9.0,7.5,1.3999999999999997,1.27
2024-10-28,1.15,2.5,10.0,20.0,10.0,5.0,1.8999999999999997,2.75,10.0,1.2,1.3999999999999997,1.7,2.25,1.6000000000000003,3.0,3.0,3.0,20.0,10.0,2.4,2.0,4.0,10.0,18.0,10.0,6.0,5.0,5.0,12.0,6.0,6.0,9.0,7.5,1.3999999999999997,1.27
2024-10-29,1.15,2.513333333333333,10.0,20.0,10.0,5.0,1.7666666666666666,3.25,10.0,1.1666666666666665,1.3333333333333333,1.6666666666666667,2.1833333333333336,1.6000000000000003,3.0,2.766666666666667,2.9,20.0,10.0,2.5666666666666664,1.8666666666666665,3.6666666666666665,10.0,18.0,10.0,6.0,5.0,5.0,12.0,6.0,6.0,9.0,7.5,1.3533333333333335,1.25
2024-10-30,1.15,2.3833333333333333,10.0,20.0,10.0,5.0,1.7,3.5,10.0,1.15,1.2833333333333334,1.6499999999999997,2.15,1.6000000000000003,3.0,2.433333333333333,2.85,20.0,10.0,2.65,1.8,3.5,10.0,17.666666666666668,10.0,6.0,5.0,5.0,12.0,6.0,6.0,9.0,7.5,1.33,1.24
2024-10-31,1.15,2.55,10.0,20.0,10.0,5.0,1.7,3.5,10.0,1.15,1.25,1.6499999999999997,2.15,1.5666666666666667,3.0,2.5,2.85,20.0,10.0,2.65,1.8,3.5,10.0,17.0,10.0,6.0,5.0,5.0,12.0,6.0,6.0,9.0,7.5,1.33,1.24
