date,event_info_number,event_name,event_link,odds,datum,odds1,odds2
2025-09-22 02:25:34.505135,15549,SPD,/sazeni/politika/cesko-volby-do-ps-2025-liberecky-kraj/spd-MCZ192194970,,04.10. 14:00,20.0,-1.0
2025-09-22 02:25:34.505135,15555,SPOLU,/sazeni/politika/cesko-volby-do-ps-2025-liberecky-kraj/spolu-MCZ192194972,,04.10. 14:00,20.0,-1.0
2025-09-22 02:25:34.505135,15574,STAN,/sazeni/politika/cesko-volby-do-ps-2025-liberecky-kraj/stan-MCZ192194974,,04.10. 14:00,30.0,-1.0
2025-09-22 02:25:34.505135,15579,Piráti,/sazeni/politika/cesko-volby-do-ps-2025-liberecky-kraj/pirati-MCZ192194975,,04.10. 14:00,50.0,-1.0
2025-09-22 02:25:34.505135,15582,Stačilo!,/sazeni/politika/cesko-volby-do-ps-2025-liberecky-kraj/stacilo--MCZ192194978,,04.10. 14:00,100.0,-1.0
2025-09-22 02:25:34.505135,15583,Motoristé sobě,/sazeni/politika/cesko-volby-do-ps-2025-liberecky-kraj/motoriste-sobe-MCZ192194984,,04.10. 14:00,100.0,-1.0
2025-09-22 02:25:34.505135,15584,Přísaha,/sazeni/politika/cesko-volby-do-ps-2025-liberecky-kraj/prisaha-MCZ192194985,,04.10. 14:00,150.0,-1.0
2025-09-22 02:25:34.505135,15548,ANO 2011,/sazeni/politika/cesko-volby-do-ps-2025-liberecky-kraj/ano-2011-MCZ192194958,,04.10. 14:00,-1.0,10.0
2025-09-22 01:14:21.275997,15549,SPD,/sazeni/politika/cesko-volby-do-ps-2025-liberecky-kraj/spd-MCZ192194970,,04.10. 14:00,20.0,-1.0
2025-09-22 01:14:21.275997,15555,SPOLU,/sazeni/politika/cesko-volby-do-ps-2025-liberecky-kraj/spolu-MCZ192194972,,04.10. 14:00,20.0,-1.0
2025-09-22 01:14:21.275997,15574,STAN,/sazeni/politika/cesko-volby-do-ps-2025-liberecky-kraj/stan-MCZ192194974,,04.10. 14:00,30.0,-1.0
2025-09-22 01:14:21.275997,15579,Piráti,/sazeni/politika/cesko-volby-do-ps-2025-liberecky-kraj/pirati-MCZ192194975,,04.10. 14:00,50.0,-1.0
2025-09-22 01:14:21.275997,15582,Stačilo!,/sazeni/politika/cesko-volby-do-ps-2025-liberecky-kraj/stacilo--MCZ192194978,,04.10. 14:00,100.0,-1.0
2025-09-22 01:14:21.275997,15583,Motoristé sobě,/sazeni/politika/cesko-volby-do-ps-2025-liberecky-kraj/motoriste-sobe-MCZ192194984,,04.10. 14:00,100.0,-1.0
2025-09-22 01:14:21.275997,15584,Přísaha,/sazeni/politika/cesko-volby-do-ps-2025-liberecky-kraj/prisaha-MCZ192194985,,04.10. 14:00,150.0,-1.0
2025-09-22 01:14:21.275997,15548,ANO 2011,/sazeni/politika/cesko-volby-do-ps-2025-liberecky-kraj/ano-2011-MCZ192194958,,04.10. 14:00,-1.0,10.0
2025-09-22 04:09:12.453085,15549,SPD,/sazeni/politika/cesko-volby-do-ps-2025-liberecky-kraj/spd-MCZ192194970,,04.10. 14:00,20.0,-1.0
2025-09-22 04:09:12.453085,15555,SPOLU,/sazeni/politika/cesko-volby-do-ps-2025-liberecky-kraj/spolu-MCZ192194972,,04.10. 14:00,20.0,-1.0
2025-09-22 04:09:12.453085,15574,STAN,/sazeni/politika/cesko-volby-do-ps-2025-liberecky-kraj/stan-MCZ192194974,,04.10. 14:00,30.0,-1.0
2025-09-22 04:09:12.453085,15579,Piráti,/sazeni/politika/cesko-volby-do-ps-2025-liberecky-kraj/pirati-MCZ192194975,,04.10. 14:00,50.0,-1.0
2025-09-22 04:09:12.453085,15582,Stačilo!,/sazeni/politika/cesko-volby-do-ps-2025-liberecky-kraj/stacilo--MCZ192194978,,04.10. 14:00,100.0,-1.0
2025-09-22 04:09:12.453085,15583,Motoristé sobě,/sazeni/politika/cesko-volby-do-ps-2025-liberecky-kraj/motoriste-sobe-MCZ192194984,,04.10. 14:00,100.0,-1.0
2025-09-22 04:09:12.453085,15584,Přísaha,/sazeni/politika/cesko-volby-do-ps-2025-liberecky-kraj/prisaha-MCZ192194985,,04.10. 14:00,150.0,-1.0
2025-09-22 04:09:12.453085,15548,ANO 2011,/sazeni/politika/cesko-volby-do-ps-2025-liberecky-kraj/ano-2011-MCZ192194958,,04.10. 14:00,-1.0,10.0
2025-09-22 12:12:47.158396,15549,SPD,/sazeni/politika/cesko-volby-do-ps-2025-liberecky-kraj/spd-MCZ192194970,,04.10. 14:00,20.0,-1.0
