date,event_info_number,event_name,event_link,odds,datum,odds2
2024-05-30 23:32:04.766057,3525,ANO 2011,/stavkovanie/politika/cesko-volby-do-europskeho-parlamentu-2024-pocet-hlasov-v-/ano-2011-MSK113069847,50.00,07.06. 14:00,-1.00
2024-05-30 23:32:04.766057,3555,SPOLU,/stavkovanie/politika/cesko-volby-do-europskeho-parlamentu-2024-pocet-hlasov-v-/spolu-MSK113069856,25.00,07.06. 14:00,-1.00
2024-05-30 23:32:04.766057,3585,Starostové a osobnosti pro Evropu,/stavkovanie/politika/cesko-volby-do-europskeho-parlamentu-2024-pocet-hlasov-v-/starostove-a-osobnosti-pro-evropu-MSK113069867,12.00,07.06. 14:00,-1.00
2024-05-30 23:32:04.766057,3607,Česká pirátská strana,/stavkovanie/politika/cesko-volby-do-europskeho-parlamentu-2024-pocet-hlasov-v-/ceska-piratska-strana-MSK113069896,10.00,07.06. 14:00,-1.00
2024-05-30 23:32:04.766057,3612,SPD a Trikolora,/stavkovanie/politika/cesko-volby-do-europskeho-parlamentu-2024-pocet-hlasov-v-/spd-a-trikolora-MSK113069912,5.31,07.06. 14:00,1.12
2024-05-30 23:32:04.766057,3625,STAČILO!,/stavkovanie/politika/cesko-volby-do-europskeho-parlamentu-2024-pocet-hlasov-v-/stacilo--MSK113069924,2.55,07.06. 14:00,1.45
2024-05-30 23:32:04.766057,3646,PŘÍSAHA a MOTORISTÉ,/stavkovanie/politika/cesko-volby-do-europskeho-parlamentu-2024-pocet-hlasov-v-/prisaha-a-motoriste-MSK113069933,2.29,07.06. 14:00,1.55
2024-05-30 23:32:04.766057,3663,PRO,/stavkovanie/politika/cesko-volby-do-europskeho-parlamentu-2024-pocet-hlasov-v-/pro-MSK113069948,1.10,07.06. 14:00,5.81
2024-05-30 23:32:04.766057,4675,Sociální demokracie,/stavkovanie/politika/cesko-volby-do-europskeho-parlamentu-2024-pocet-hlasov-v-/socialni-demokracie-MSK113073611,1.13,07.06. 14:00,5.00
2024-05-30 23:32:04.766057,4727,Svobodní,/stavkovanie/politika/cesko-volby-do-europskeho-parlamentu-2024-pocet-hlasov-v-/svobodni-MSK113073636,1.01,07.06. 14:00,10.00
