date,title,result,odds,date_bet,identifier
2017-12-13T11:01:02.302997,Miloš Zeman - Jiří Drahoš,1,1.05,12.1. 14:00,91000
2017-12-13T11:01:02.302997,Miloš Zeman - Michal Horáček,1,1.02,12.1. 14:00,91001
2017-12-13T11:01:02.302997,Jiří Drahoš - Michal Horáček,1,1.22,12.1. 14:00,91003
2017-12-13T11:01:02.302997,Jiří Drahoš - Pavel Fischer,1,1.03,12.1. 14:00,91005
2017-12-13T11:01:02.302997,Michal Horáček - Pavel Fischer,1,1.22,12.1. 14:00,91007
2017-12-13T11:01:02.302997,Michal Horáček - Vratislav Kulhánek,1,28,12.1. 14:00,91009
2017-12-13T11:01:02.302997,Mirek Topolánek - Pavel Fischer,1,1.3,12.1. 14:00,91010
2017-12-13T11:01:02.302997,Mirek Topolánek - Marek Hilšer,1,1.01,12.1. 14:00,91011
2017-12-13T11:01:02.302997,Mirek Topolánek - Vratislav Kulhánek,1,29,12.1. 14:00,91012
2017-12-13T11:01:02.302997,Marek Hilšer - Vratislav Kulhánek,1,1.42,12.1. 14:00,91015
